略称,Year,Paper URL,Website URL,Challenge Tag,Sub-Challeng Tag,How to Solve,Training Type,Dataset,Evaluation
Spec-VLA,2025,https://arxiv.org/pdf/2507.22424,https://github.com/PineTreeWss/SpecVLA,From Complex Instructions to Robust and Real-Time Execution  ,Real-Time Execution and Computing Efficiency,Leverages speculative decoding to emit candidate action tokens in one pass,BC,generating by OpenVLA,LIBERO
FAST,2025,https://arxiv.org/pdf/2501.09747,https://www.pi.website/research/fast,From Complex Instructions to Robust and Real-Time Execution  ,Real-Time Execution and Computing Efficiency,Compresses action sequences ,BC and Predictive Modeling and RL,DROID; BRIDGE v2; Open X-Embodiment,DROID
VQ-VLA,2025,https://arxiv.org/pdf/2507.01016,https://xiaoxiao0406.github.io/vqvla.github.io/,From Complex Instructions to Robust and Real-Time Execution  ,Real-Time Execution and Computing Efficiency,Leverages a VQ-VAE tokenizer to compress long trajectories into compact discrete tokens,BC,Open X-Embodiment;LIBERO;ManiSkill;RLBench,LIBERO-10;LIBERO-GOAL;LIBERO-90
XR-1,2025,https://arxiv.org/pdf/2511.02776,https://xr-1-vla.github.io/,From Complex Instructions to Robust and Real-Time Execution  ,Real-Time Execution and Computing Efficiency,Leverages VQ-VAE–learned discrete visual–motor tokens to guide policy learning,BC ,OXE;RoboMIND;Ego4D;XR-D,XR-1
SmolVLA,2025,https://arxiv.org/pdf/2506.01844,https://github.com/huggingface/smollm,From Complex Instructions to Robust and Real-Time Execution  ,Real-Time Execution and Computing Efficiency,Leverages asynchronous execution to predict the next action chunk during current execution,BC ,Hugging Face ; LIBERO; Meta-World,LIBERO
Time-Diffusion Policy,2025,https://arxiv.org/pdf/2506.09422,https://github.com/jonyzhang2023/awesome-embodied-vla-va-vln,From Complex Instructions to Robust and Real-Time Execution  ,Real-Time Execution and Computing Efficiency,Leverages a unified velocity field to replace time-varying denoising,BC ,RLBench,RLBench
Discrete Diffusion VLA,2025,https://arxiv.org/pdf/2508.20072,https://github.com/Liang-ZX/DiscreteDiffusionVLA,From Complex Instructions to Robust and Real-Time Execution  ,Real-Time Execution and Computing Efficiency,Discretizes actions into tokens and employs masked diffusion with parallel prediction,BC ,OXE;Fractal;BridgeData-V2;LIBERO,SimplerEnv-Fractal
ECoT-Lite,2025,https://arxiv.org/pdf/2505.08243v1,https://github.com/MichalZawalski/embodied-CoT,From Complex Instructions to Robust and Real-Time Execution  ,Real-Time Execution and Computing Efficiency,Leverages reasoning traces during training while bypassing explicit reasoning at inference,BC,LIBERO and Bridge V2,LIBERO
V-JEPA,2025,https://arxiv.org/pdf/2506.09985,https://github.com/facebookresearch/vjepa2,From Complex Instructions to Robust and Real-Time Execution  ,Real-Time Execution and Computing Efficiency,Predicting compressed semantic representations instead of raw pixels,Predictive Modeling,VideoMix22M; Droid,Kinetics-400;Something-Something V2
Fast-in-Slow,2025,https://arxiv.org/pdf/2506.01953,https://fast-in-slow.github.io/,From Complex Instructions to Robust and Real-Time Execution  ,Real-Time Execution and Computing Efficiency,Leverages a dual-system model coordinating slow reasoning and fast reactions,BC and Predictive Modeling,Open X-Embodiment;DROID;RoboMIND,RLBench
AMS,2025,https://arxiv.org/pdf/2405.09045,https://github.com/AMS-Net/ams-net.github.io,From Complex Instructions to Robust and Real-Time Execution  ,Real-Time Execution and Computing Efficiency,Introduces OS-level action context caching and replay mechanisms,BC ,AMSNet,MLLM4EDA
FedVLA,2025,https://arxiv.org/pdf/2508.02190,-,From Complex Instructions to Robust and Real-Time Execution  ,Real-Time Execution and Computing Efficiency,Leverages federated learning for efficient distributed VLA training,BC,Open-X Embodiment,Meta-World
Octo,2024,https://arxiv.org/pdf/2405.12213,https://octo-models.github.io/,Generalization and Adaptation for Continuous Learning,Open-World Generalization, Pretrain Transformer on 800k trajectories and use lightweight adapters,BC and Predictive Modeling,OXE,WidowX
DexVLA,2025,https://arxiv.org/pdf/2502.05855,https://dex-vla.github.io/,Generalization and Adaptation for Continuous Learning,Open-World Generalization, Pretrain diffusion action experts across morphologies with a three stage curriculum,BC ,self collecting,LIBERO
RoboCat,2023,https://arxiv.org/pdf/2306.11706,https://github.com/kyegomez/RoboCAT,Generalization and Adaptation for Continuous Learning,Open-World Generalization,Pretrain on heterogeneous multi robot data and update on real trajectories,BC ,ImageNet;DeepMind Control Suite,RGB Stacking Benchmark
Dita,2024,https://arxiv.org/pdf/2503.19757,https://robodita.github.io/,Generalization and Adaptation for Continuous Learning,Open-World Generalization, Use OXE dataset and diffusion Transformers to learn cross environment behaviors,BC ,Open X-Embodiment (OXE) datasets; Droid,SimplerEnv
EO-1,2025,https://arxiv.org/pdf/2508.21112,https://github.com/eo-robotics/EO1,Generalization and Adaptation for Continuous Learning,Open-World Generalization, Pretrain a shared backbone on 1.5M EO Data,BC,LLaVA-1.5;LLaVA-Video-178K;PixMo-Points,RoboVQA
R3M,2022,https://arxiv.org/pdf/2203.12601,https://sites.google.com/view/robot-r3m/,Generalization and Adaptation for Continuous Learning,Open-World Generalization,Pretrain visual encoders on massive human first-person videos,Predictive Modeling,Ego4D,Franka Kitchen
Ego4D,2022,https://arxiv.org/pdf/2110.07058,https://ego4d-data.org/,Generalization and Adaptation for Continuous Learning,Open-World Generalization,Pretrain visual encoders on massive human first-person videos,Predictive Modeling,Ego4D,Episodic Memory
GR-1,2023,https://arxiv.org/pdf/2312.13139,https://gr1-manipulation.github.io/,Generalization and Adaptation for Continuous Learning,Open-World Generalization,Pretrain on massive human egocentric video datasets,Predictive Modeling,Ego4D,CALVIN
Gr-2,2024,https://arxiv.org/pdf/2410.06158,https://gr2-manipulation.github.io/,Generalization and Adaptation for Continuous Learning,Open-World Generalization,Pretrain on massive human egocentric video datasets,Predictive Modeling,HowTo100M; Ego4D; Something-Something V2 (SSV2),End-to-End Bin Picking
ICIL,2024,https://arxiv.org/pdf/2408.15980,https://icrt.dev/,Generalization and Adaptation for Continuous Learning,Open-World Generalization,Leverages in-context learning to infer tasks from few-shot demonstrations without retraining,BC and Predictive Modeling,DROID,ICIL
TRA,2025,https://arxiv.org/pdf/2502.05454,https://tra-paper.github.io/,Generalization and Adaptation for Continuous Learning,Open-World Generalization,Use temporal contrastive loss to structure representation space,BC and Predictive Modeling and RL,BridgeDataV2,Real-world tabletop manipulation tasks
ObjectVLA,2025,"""https://arxiv.org/pdf/2502.19250",https://objectvla.github.io/,Generalization and Adaptation for Continuous Learning,Open-World Generalization,Jointly train on robot trajectories and box labeled VL corpora,BC ,ObjectVLA-Demo,ObjectVLA-Bench
LERF,2023,https://arxiv.org/pdf/2303.09553,https://www.lerf.io/,Generalization and Adaptation for Continuous Learning,Open-World Generalization,Fuse CLIP with 3D NeRFs,BC,LERF-Demo,LERF-Bench
RUM,2025,https://arxiv.org/pdf/2508.12922,https://github.com/kairanzhao/RUM,Generalization and Adaptation for Continuous Learning,Open-World Generalization,Pair large scale home demonstrations with multimodal LLM reasoning,BC and Predictive Modeling,-,-
Align-Then-Steer,2025,https://arxiv.org/pdf/2509.02055,https://github.com/TeleHuman/Align-Then-Steer,Generalization and Adaptation for Continuous Learning,Open-World Generalization,Leverages a latent-space adapter to steer a frozen VLA model non-invasively,BC and Predictive Modeling,DROID; Kuka; ALOHA,RoboTwin 1.0
CACTI,2022,https://arxiv.org/pdf/2212.05711,https://cacti-framework.github.io/,Generalization and Adaptation for Continuous Learning,Open-World Generalization,Leverages Stable Diffusion for zero-shot inpainting to diversify expert images without extra rollouts,BC and Predictive Modeling,CACTI-Sim-100,CACTI-Sim-100
GenAug,2023,https://arxiv.org/pdf/2302.06671,https://genaug.github.io/,Generalization and Adaptation for Continuous Learning,Open-World Generalization,Leverages text-to-image synthesis from few-shot demos and prompts to generate diverse consistent scenes,BC ,Self-built Data,-
ROSIE,2023,https://arxiv.org/pdf/2302.11550,https://diffusion-rosie.github.io/,Generalization and Adaptation for Continuous Learning,Open-World Generalization,Distill internet scale VLM knowledge into robot training,BC and Predictive Modeling,RT-1; self collecting,ROSIE
LMM-3DP,2025,https://arxiv.org/pdf/2501.18733,https://lmm-3dp-release.github.io/,Generalization and Adaptation for Continuous Learning,Open-World Generalization,Leverages a high-level planner for abstract knowledge and a low-level executor for reusable skills,BC,Self-built Data,Real-Robot Evaluation
BAKU,2024,https://arxiv.org/pdf/2406.07539,https://baku-robot.github.io/,Generalization and Adaptation for Continuous Learning,Open-World Generalization,Leverages dynamic multimodal sensor fusion,BC ,LIBERO-90; Meta-World; DeepMind Control Suite/DM Control,LIBERO-90;Meta-World
StructDiffusion,2022,https://arxiv.org/pdf/2211.04604,https://structdiffusion.github.io/,Generalization and Adaptation for Continuous Learning,Open-World Generalization,Leverages language guided diffusion to generate multiple action structures,Predictive Modeling,-,Google Scanned Objects with Pybullet
Think Small Act Big,,https://arxiv.org/pdf/2504.00420,-,Generalization and Adaptation for Continuous Learning,Continua Learning and Incremental Skill Acquisition,Leverages new prompts or codebook entries to add skills without modifying existing components,BC,MimicGen,LIBERO
SPECI,,https://arxiv.org/pdf/2504.15561,-,Generalization and Adaptation for Continuous Learning,Continua Learning and Incremental Skill Acquisition,Leverages new prompts or codebook entries to add skills without modifying existing components,BC,LIBERO,LIBERO
InstructVLA,2025,https://arxiv.org/pdf/2507.17520,https://yangs03.github.io/InstructVLA_Home/,Generalization and Adaptation for Continuous Learning,Continua Learning and Incremental Skill Acquisition,Leverages a two-stage paradigm with a MoE to route between reasoning and action modules,BC and Predictive Modeling,Bridge Dataset;Fractal Dataset;RT-1/RT-1-X,VLMEvalKit
iManip,2025,https://arxiv.org/pdf/2503.07087,https://github.com/Ghy0501/Awesome-Continual-Learning-in-Generative-Models,Generalization and Adaptation for Continuous Learning,Continua Learning and Incremental Skill Acquisition,Add skill specific weights while freezing old ones,BC ,RLBench,RLBench
ExpReSVLA,2025,https://arxiv.org/pdf/2511.06202,-,Generalization and Adaptation for Continuous Learning,Continua Learning and Incremental Skill Acquisition,Use Compressed Experience Replay,BC,OpenVLA pretraining dataset,LIBERO
SLIM,2025,https://arxiv.org/pdf/2410.09615,https://github.com/Paramathic/slim,Generalization and Adaptation for Continuous Learning,sim-to-real Gap in Deployment,Compress RGB into segmentation and depth maps,BC and Predictive Modeling,C4,MMLU;PIQA
MaiSkill3,2024,https://arxiv.org/pdf/2410.00425,https://github.com/haosulab/ManiSkill,Generalization and Adaptation for Continuous Learning,sim-to-real Gap in Deployment,Leverages GPU-parallel rendering domain randomization and background composition,BC,ManiSkill3,ManiSkill3
GenAug,2023,https://arxiv.org/abs/2302.06671,https://github.com/genaug/genaug,Generalization and Adaptation for Continuous Learning,sim-to-real Gap in Deployment,Leverages  web scale image generative models to synthesize images from few demonstrations,,10 real world table,real world evaluation
DreamGen,2025,https://arxiv.org/pdf/2505.12705,https://github.com/nvidia/GR00T-dreams,Generalization and Adaptation for Continuous Learning,sim-to-real Gap in Deployment,Train a world model on massive real world data,Predictive Modeling and RL,GR1 humanoid teleoperation pick-and-place; RoboCasa (simulation); DROID,RoboCasa
RynnVLA-001,2025,https://arxiv.org/pdf/2509.15212,https://github.com/alibaba-damo-academy/RynnVLA-001,Generalization and Adaptation for Continuous Learning,sim-to-real Gap in Deployment,Pretrain large scale video generation with human centric trajectory modeling,BC and Predictive Modeling,self collecting ego-centric human manipu-demo; EgoDex,Calvin
RIDG,2024,https://arxiv.org/pdf/2412.09858,https://generalist-distillation.github.io/,Generalization and Adaptation for Continuous Learning,Online Interatction and Reinforcement Learning,Train specialist RL policies then distill trajectories into VLA,RL ,generating by RL,Connector Insertion
Refined Policy Distillation,2025,https://arxiv.org/pdf/2503.05833,https://refined-policy-distillation.github.io/,Generalization and Adaptation for Continuous Learning,online Interatction and Reinforcement Learning,Add MSE constraint to guide RL agent,RL ,ManiSkill3,ManiSkill3
iRe-VLA,2025,https://arxiv.org/pdf/2501.16664,https://github.com/HaochenZ11/IRef-VLA,Generalization and Adaptation for Continuous Learning,online Interatction and Reinforcement Learning,Freeze backbone and train lightweight action head in alternating phases,RL ,Metaworld,MetaWorld
